År;Månad;Rapportvy;Autogenererad_Fakta;Färdig_Analystext;Robot_Fakta
2025;10;Flyttning;Under oktober 2025 registrerades 771 inflyttningar till Linköping och 682 utflyttningar. Detta gav ett flyttnetto på +89 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +23 personer och utflyttningen med +29 personer.;Under oktober 2025 registrerades 771 inflyttningar till Linköping och 682 utflyttningar. Detta gav ett flyttnetto på +89 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +23 personer och utflyttningen med +29 personer.;A
2025;11;Flyttning;Under november 2025 registrerades 543 inflyttningar till Linköping och 562 utflyttningar. Detta gav ett flyttnetto på -19 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -22 personer och utflyttningen med -26 personer.;Under november 2025 registrerades 543 inflyttningar till Linköping och 562 utflyttningar. Detta gav ett flyttnetto på -19 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -22 personer och utflyttningen med -26 personer.;A
2025;12;Flyttning;;Totalt flyttade 9 967 personer till Linköping under 2025, varav 530 under december månad. Det totala flyttningsöverskottet för kommunen uppgick till 442 personer för helåret 2025. Kommunen hade ett flyttningsöverskott på 307 personer i relation med kommuner i andra län och utrikes migrationsnetto på plus 135 personer. I relation med övriga kommuner i Östergötlands län hade kommunen ett negativt flyttningsnetto på 13 personer under 2025. Hittills under året har NN flyttat till kommunen, medan nn har flyttat ut från kommunen. Summerat för de senaste tolv månaderna har NN flyttat till och nn flyttat från kommunen, vilket för rullande 12 ger ett positivt flyttningsnetto på nn perosner.;F
2026;1;Befolkning;;Folkmängden ökade med 44 personer under januari 2026. 123 barn föddes under månaden medan 124 personer avled. Totalt uppgick kommunens folkmängd till 168 760 personer vid månadens slut.;M
2026;2;Befolkning;;Under februari månad föddes nn barn i Linköpings kommun och hittills under året har det fötts nn barn i kommunen. Under de senaste tolv månaderna har det fötts nnj barn, det innebär att jämfört med kommunens befolkningsprognos har det fötts nn färre barn än förväntat under de senaste tolv månaderna. nn personer avled i februari och födelseöverskottet för månaden uppgick därmed till nn personer. Födelseöverskott för året två första månader uppgick till nn personer. Vid månadens slut bodde det 168 200 personer i Linköping.;
2026;3;Befolkning;;;
2026;4;Befolkning;;;
2026;5;Befolkning;;;
2026;6;Befolkning;;;
2026;7;Befolkning;;;
2026;8;Befolkning;;;
2026;9;Befolkning;;;
2026;10;Befolkning;;;
2026;11;Befolkning;;;
2026;12;Befolkning;;;
2026;1;Flyttning;;Under årets första månad flyttade 852 personer till och 829 personer från kommunen. Dvs. ett flyttningsöverskott på 23 personer. Det var i första hand inflyttningen från kommuner i andra län som bidrog till flyttningsöverskottet. Det totala flyttningsöverskottet i relation med andra län uppgick till plus 91 personer, medan det var ett flyttningsnetto på minus 44 i förhållande till kommunerna i övriga länet och minus 28 i relation till andra länder.;M
